State,County Name,FIPS,Number of Dem Votes,Number of GOP Votes,Percent With No High School,Percent With Only High School,Percent With Some College, Percent With Bachelor's or more,Percent of County Population Below Poverty
AR,Ashley,5003,2408.0,5338.0,16.1,39.7,30.6,13.6,19.85103315713599
AR,Baxter,5005,4163.0,14655.0,12.8,34.4,35.1,17.7,13.63525687850012
AR,Benton,5007,27894.0,60751.0,12.8,30.5,26.0,30.7,0.43691274900239585
AR,Boone,5009,2925.0,12225.0,15.0,34.6,35.4,15.0,1.0583147546267695
AR,Bradley,5011,1317.0,2163.0,20.1,41.5,24.2,14.2,28.616665158780417
AR,Carroll,5015,3334.0,6773.0,16.2,34.9,31.2,17.7,5.88235294117647
AR,Chicot,5017,2350.0,1716.0,19.9,42.0,24.9,13.1,29.604005461993626
AR,Clark,5019,3606.0,4398.0,13.5,30.9,30.9,24.7,1.1483084533168448
AR,Cleveland,5025,723.0,2460.0,13.9,43.9,26.5,15.7,20.134956018797446
AR,Columbia,5027,3140.0,5456.0,14.8,39.2,24.0,21.9,2.3902236951118474
AR,Conway,5029,2655.0,4844.0,15.0,42.3,25.8,16.9,21.348956844812804
AR,Craighead,5031,10474.0,22798.0,12.0,34.2,28.3,25.4,17.901151760219236
AR,Crawford,5033,4476.0,16655.0,14.7,40.0,31.8,13.6,3.2862636119817754
AR,Crittenden,5035,8368.0,6953.0,18.2,35.6,28.8,17.4,3.8971113606205985
AR,Cross,5037,1995.0,4577.0,19.3,44.0,21.9,14.7,19.4653396597616
AR,Desha,5041,2227.0,1915.0,23.9,39.7,23.3,13.2,32.1395852419422
AR,Drew,5043,2364.0,3967.0,18.4,36.9,24.9,19.8,25.975903614457827
AR,Faulkner,5045,14525.0,29170.0,8.9,30.7,31.3,29.1,15.320208005406164
AR,Fulton,5049,1067.0,3470.0,16.1,40.7,32.2,11.0,12.84870364292747
AR,Garland,5051,12283.0,26053.0,11.6,31.3,36.4,20.6,20.214298948061842
AR,Grant,5053,1407.0,5160.0,10.0,41.6,28.6,19.8,0.5712701053799224
AR,Hempstead,5057,2371.0,4391.0,21.3,38.0,28.1,12.6,26.594972320537252
AR,Hot Spring,5059,3137.0,8153.0,14.1,41.6,30.8,13.5,15.96929785264164
AR,Howard,5061,1350.0,3155.0,20.6,33.8,29.9,15.7,4.51685393258427
AR,Independence,5063,2878.0,9925.0,15.5,37.5,29.3,17.6,18.587651390499822
AR,Izard,5065,1111.0,4042.0,16.1,40.7,30.8,12.4,20.625836182547943
AR,Johnson,5071,2421.0,6072.0,21.0,43.1,20.0,15.9,1.9085137305897653
AR,Lafayette,5073,1028.0,1750.0,19.8,42.7,23.8,13.7,18.220885259991405
AR,Lincoln,5079,1252.0,2455.0,20.9,50.2,21.0,7.8,2.348096235821111
AR,Little River,5081,1397.0,3604.0,14.0,40.6,35.7,9.7,19.156287665729206
AR,Logan,5083,1712.0,5737.0,17.2,43.9,25.9,13.0,0.43585979078730036
AR,Lonoke,5085,5638.0,19902.0,11.9,33.9,34.7,19.5,11.90426377672706
